Family,Scientific Name,Globally Threatened Status,Nationally Threatened Status,Migration status,Occurrence status
,Cisticola exilis ,NT ,LC,r,2
,Prinia crinigera ,LC,LC,r,3
,Prinia cinereocapilla ,VU ,CR ,r,5
,Prinia hodgsonii ,LC,LC,r,1
,Prinia gracilis ,LC,LC,r,3
,Prinia sylvatica ,LC,LC,r,3
,Prinia flaviventris ,NT ,LC,r,2
,Prinia socialis ,LC,LC,r,2
,Prinia inornata ,LC,LC,r,1
,Orthotomus sutorius ,LC,LC,r,1
Acrocephalidae,Arundinax aedon ,LC,LC,w,2
,"Acrocephalus
dumetorum",LC,LC,w,2
,Acrocephalus agricola ,LC,LC,w,4
,"Acrocephalus
stentoreus",NT ,LC,r,2
Pnoepygidae,Pnoepyga albiventer ,LC,LC,w,4
Locustellidae,Megalurus palustris ,CR ,LC,r,3
,Chaetornis striata ,VU ,VU ,r,3
Hirundinidae,Delichon nipalense ,LC,LC,w,4
,Delichon urbicum ,LC,LC,w,4
,Hirundo smithii ,LC,LC,r,2
,Riparia chinensis ,NT ,LC,r,1
,Hirundo rustica ,LC,LC,r,1
,Cecropis daurica ,LC,LC,w,3
,Riparia riparia ,LC,LC,r,3
,Riparia diluta ,LC,LC,r,4
Pycnonotidae,Hemixos flavala ,LC,LC,r,4
,"Hypsipetes
leucocephalus",LC,LC,r,1
,Pycnonotus striatus ,LC,LC,r,4
,"Pycnonotus
flaviventris",LC,LC,r,3
,Pycnonotus jocosus ,LC,LC,r,1
,"Pycnonotus
leucogenys",LC,LC,r,2
,Pycnonotus cafer ,LC,LC,r,1
Phylloscopidae,"Phylloscopus
inornatus",LC,LC,w,4
,Phylloscopus humei ,LC,LC,w,1
,"Phylloscopus
chloronotus",LC,LC,w,2
,Phylloscopus pulcher ,LC,LC,w,3
,"Phylloscopus
maculipennis",LC,LC,w,3
,"Phylloscopus
fuscatus",LC,LC,w,2
,"Phylloscopus
fuligiventer",LC,LC,w,3
,"Phylloscopus
collybita",LC,LC,w,2
,Phylloscopus affinis ,LC,LC,w,2
,"Phylloscopus
poliogenys",NT ,LC,w,5
,Phylloscopus burkii ,LC,LC,w,3
,"Phylloscopus
castaniceps",LC,LC,w,4
,"Phylloscopus
trochiloides",LC,LC,w,1
,"Phylloscopus
magnirostris",LC,LC,s,4
,Phylloscopus cantator ,EN ,LC,w,4
,"Phylloscopus
reguloides",LC,LC,w,1
,"Phylloscopus
occipitalis",LC,LC,w,3
,"Phylloscopus
xanthoschistos",LC,LC,r,2
,Tesia cyaniventer ,LC,LC,w,4
,"Cettia
castaneocoronata",LC,LC,w,4
,Cettia brunnifrons ,LC,LC,w,2
,Hemitesia pallidipes ,VU ,LC,w,5
,Horornis fortipes ,LC,LC,w,4
,"Horornis
flavolivaceus",LC,LC,w,2
Aegithalidae,"Aegithalos
niveogularis",LC,LC,v,2
,Aegithalos iredalei ,LC,LC,r,3
Sylviidae,Sylvia curruca ,LC,LC,w,4
,Sylvia crassirostris ,LC,LC,v,2
,Chrysomma sinense ,NT ,LC,r,2
Zosteropidae,"Zosterops
palpebrosus",LC,LC,r,1
,"Pomatorhinus
schisticeps",LC,LC,r,2
,"Erythrogenys
erythrogenys",LC,LC,r,3
,Stachyris nigriceps ,LC,LC,r,4
,Dumetia hyperythra ,EN ,LC,r,3
,Timalia pileata ,NT ,LC,r,1
,Mixornis gularis ,LC,LC,r,1
,"Cyanoderma
pyrrhops",LC,LC,r,3
Pellorneidae,Pellorneum ruficeps ,LC,LC,r,1
,Malacocincla abbotti ,EN ,LC,r,3
,"Graminicola
bengalensis",EN ,LC,r,2
Leiotrichidae,Argya earlei ,LC,LC,r,1
,"Acanthoptila
nipalensis",LC,LC,r,4
,Turdoides striata ,LC,LC,r,1
,Argya malcolmi ,LC,LC,r,3
,Garrulax leucolophus ,LC,LC,r,3
,Garrulax albogularis ,LC,LC,r,3
,Leiothrix argentauris ,EN ,LC,r,3
,"Heterophasia
capistrata",LC,LC,w,3
Certhiidae,Certhia nipalensis ,LC,LC,w,4
