English Name,Scientific Name,Globally Threatened Status,Nationally Threatened Status,Migration status,Occurrence status
Red-headed Tit ,Aegithalos iredalei ,LC,LC,r,3
Lesser Whitethroat ,Sylvia curruca ,LC,LC,w,4
Eastern Orphean Warbler ,Sylvia crassirostris ,LC,LC,v,2
Yellow-eyed Babbler ,Chrysomma sinense ,NT ,LC,r,2
Oriental White-eye ,"Zosterops
palpebrosus",LC,LC,r,1
"White-browed Scimitar
babbler","Pomatorhinus
schisticeps",LC,LC,r,2
"Rusty-cheeked Scimitar
babbler","Erythrogenys
erythrogenys",LC,LC,r,3
Grey-throated Babbler ,Stachyris nigriceps ,LC,LC,r,4
Tawny-bellied Babbler ,Dumetia hyperythra ,EN ,LC,r,3
"Chestnut-capped
Babbler",Timalia pileata ,NT ,LC,r,1
Pin-striped Tit-babbler ,Mixornis gularis ,LC,LC,r,1
Black-chinned Babbler ,"Cyanoderma
pyrrhops",LC,LC,r,3
Puff-throated Babbler ,Pellorneum ruficeps ,LC,LC,r,1
Abbott's Babbler ,Malacocincla abbotti ,EN ,LC,r,3
Indian Grass-babbler ,"Graminicola
bengalensis",EN ,LC,r,2
Striated Babbler ,Argya earlei ,LC,LC,r,1
Spiny Babbler ,"Acanthoptila
nipalensis",LC,LC,r,4
Jungle Babbler ,Turdoides striata ,LC,LC,r,1
Large Grey Babbler ,Argya malcolmi ,LC,LC,r,3
"White-crested
Laughingthrush",Garrulax leucolophus ,LC,LC,r,3
"White-throated
Laughingthrush",Garrulax albogularis ,LC,LC,r,3
Silver-eared Mesia ,Leiothrix argentauris ,EN ,LC,r,3
Rufous Sibia ,"Heterophasia
capistrata",LC,LC,w,3
"Rusty-flanked
Treecreeper",Certhia nipalensis ,LC,LC,w,4
Bar-tailed Treecreeper ,Certhia himalayana ,LC,LC,w,5
"Chestnut-bellied
Nuthatch",Sitta cinnamoventris ,LC,LC,r,1
White-tailed Nuthatch ,Sitta himalayensis ,LC,LC,r,4
Velvet-fronted Nuthatch ,Sitta frontalis ,LC,LC,r,2
Wallcreeper ,Tichodroma muraria ,LC,LC,w,4
Brown Dipper ,Cinclus pallasii ,LC,LC,w,3
Common Starling ,Sturnus vulgaris ,LC,LC,w,3
Rosy Starling ,Pastor roseus ,LC,LC,w,4
Asian Pied Starling ,Gracupica contra ,LC,LC,r,1
Brahminy Starling ,Sturnia pagodarum ,LC,LC,r,3
Chestnut-tailed Starling ,Sturnia malabarica ,LC,LC,r,1
Common Myna ,Acridotheres tristis ,LC,LC,r,1
Bank Myna ,"Acridotheres
ginginianus",LC,LC,r,2
Jungle Myna ,Acridotheres fuscus ,LC,LC,r,1
Spot-winged Starling ,"Saroglossa
spilopterus",LC,LC,s,3
Common Hill Myna ,Gracula religiosa ,LC,LC,r,2
Scaly Thrush ,Zoothera dauma ,LC,LC,W,3
Long-billed Thrush ,Zoothera monticola ,LC,LC,W,4
Orange-headed Thrush ,Geokichla citrina ,LC,LC,r,3
Mistle Thrush ,Turdus viscivorus ,LC,LC,w,4
Grey-winged Blackbird ,Turdus boulboul ,LC,LC,w,3
Tickell's Thrush ,Turdus unicolor ,LC,LC,w,4
Tibetan Blackbird ,Turdus maximus ,LC,LC,w,5
White-collared Blackbird ,Turdus albocinctus ,LC,LC,w,4
Black-throated Thrush ,Turdus atrogularis ,LC,LC,w,1
Rufous-throated Thrush ,Turdus ruficollis ,LC,LC,w,3
Oriental Magpie Robin ,Copsychus saularis ,LC,LC,r,1
Indian Robin ,Saxicoloides fulicatus ,LC,LC,r,2
White-rumped Shama ,Kittacincla malabarica ,LC,LC,r,2
Dark-sided Flycatcher ,Muscicapa sibirica ,LC,LC,w,2
Asian Brown Flycatcher ,Muscicapa dauurica ,LC,LC,w,4
Rufous-bellied Niltava ,Niltava sundara ,LC,LC,w,3
Small Niltava ,Niltava macgrigoriae ,LC,LC,w,3
Large Niltava ,Niltava grandis ,NT ,LC,r,5
Verditer Flycatcher ,Eumyias thalassinus ,LC,LC,w,2
Pale Blue-flycatcher ,Cyornis unicolor ,LC,LC,r,4
Pale-chinned Flycatcher ,Cyornis poliogenys ,LC,LC,r,2
Tickell's Blue-flycatcher ,Cyornis tickelliae ,LC,LC,r,3
"Blue-throated Blue
flycatcher",Cyornis rubeculoides ,LC,LC,s,3
Lesser Shortwing ,"Brachypteryx
leucophris",LC,LC,w,5
Himalayan Shortwing ,Brachypteryx cruralis ,LC,LC,w,5
White-bellied Redstart ,"Hodgsonius
phaenicuroides",LC,LC,w,5
Bluethroat ,Cyanecula svecica ,LC,LC,w,2
Siberian Rubythroat ,Calliope calliope ,LC,LC,w,3
Himalayan Rubythroat ,Calliope pectoralis ,LC,LC,w,3
White-tailed Blue Robin ,Myiomela leucura ,LC,LC,w,3
Little Forktail ,Enicurus scouleri ,LC,LC,r,3
Slaty-backed Forktail ,Enicurus schistaceus ,LC,LC,r,3
Black-backed Forktail ,Enicurus immaculatus ,LC,LC,r,2
Blue Whistling-thrush ,Myophonus caeruleus ,LC,LC,r,2
Slaty-backed Flycatcher ,Ficedula erithacus ,NT ,LC,r,4
Slaty-blue Flycatcher ,Ficedula tricolor ,LC,LC,r,2
"Snowy-browed
Flycatcher",Ficedula hyperythra ,LC,LC,w,3
"Rufous-gorgeted
Flycatcher",Ficedula strophiata ,LC,LC,w,3
Ultramarine Flycatcher ,Ficedula superciliaris ,LC,LC,w,4
Little Pied Flycatcher ,Ficedula westermanni ,LC,LC,r,3
Red-throated Flycatcher ,Ficedula albicilla ,LC,LC,r,1
