S N,English Name,Scientific Name,Globally Threatened Status,Nationally Threatened Status,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Migration status,Occurrence status
356,Tickell's Leaf-warbler ,Phylloscopus affinis ,,,,w,2
357,Grey-cheeked Warbler ,"Phylloscopus
poliogenys",NT ,,,w,5
358,Green-crowned Warbler ,Phylloscopus burkii ,,,,w,3
359,"Chestnut-crowned
Warbler","Phylloscopus
castaniceps",,,,w,4
360,Greenish Warbler ,"Phylloscopus
trochiloides",,,,w,1
361,Large-billed Leaf-warbler ,"Phylloscopus
magnirostris",,,,s,4
362,Yellow-vented Warbler ,Phylloscopus cantator ,EN ,,,w,4
363,Blyth's Leaf-warbler ,"Phylloscopus
reguloides",,,,w,1
364,"Western Crowned Leaf
warbler","Phylloscopus
occipitalis",,,,w,3
365,Grey-hooded Warbler ,"Phylloscopus
xanthoschistos",,,,r,2
366,Grey-bellied Tesia ,Tesia cyaniventer ,,,,w,4
367,Chestnut-headed Tesia ,"Cettia
castaneocoronata",,,,w,4
368,Grey-sided Bush-warbler ,Cettia brunnifrons ,,,,w,2
369,Pale-footed Bush-warbler ,Hemitesia pallidipes ,VU ,,,w,5
370,"Brownish-flanked Bush
warbler",Horornis fortipes ,,,,w,4
371,Aberrant Bush-warbler ,"Horornis
flavolivaceus",,,,w,2
Aegithalidae,,,,,,,
372,White-throated Tit ,"Aegithalos
niveogularis",,,,v,
373,Red-headed Tit ,Aegithalos iredalei ,,,,r,3
Sylviidae,,,,,,,
374,Lesser Whitethroat ,Sylvia curruca ,,,,w,4
375,Eastern Orphean Warbler ,Sylvia crassirostris ,,,,v,
376,Yellow-eyed Babbler ,Chrysomma sinense ,NT ,,,r,2
Zosteropidae,,,,,,,
377,Oriental White-eye ,"Zosterops
palpebrosus",,,,r,1
378,"White-browed Scimitar
babbler","Pomatorhinus
schisticeps",,,,r,2
379,"Rusty-cheeked Scimitar
babbler","Erythrogenys
erythrogenys",,,,r,3
380,Grey-throated Babbler ,Stachyris nigriceps ,,,,r,4
381,Tawny-bellied Babbler ,Dumetia hyperythra ,EN ,,,r,3
